,kp,ki,Average Settling Time (sec)
189,90.1,0.1,176.1262
168,80.1,0.1,176.3559
147,70.1,0.1,177.1761
84,40.1,0.1,177.3787
210,100.1,0.1,178.4307
190,90.1,0.6,183.7034
191,90.1,1.1,183.7421
192,90.1,1.6,183.7777
42,20.1,0.1,183.8315
169,80.1,0.6,184.2957
126,60.1,0.1,184.3605
170,80.1,1.1,184.5911
105,50.1,0.1,184.5951
171,80.1,1.6,184.6569
173,80.1,2.6,184.662
148,70.1,0.6,184.691
172,80.1,2.1,184.6964
149,70.1,1.1,184.8378
150,70.1,1.6,184.9298
153,70.1,3.1,184.9341
151,70.1,2.1,184.9665
152,70.1,2.6,184.9696
134,60.1,4.1,185.5177
127,60.1,0.6,185.619
133,60.1,3.6,185.6613
132,60.1,3.1,185.7613
128,60.1,1.1,185.7679
131,60.1,2.6,185.8002
129,60.1,1.6,185.8146
130,60.1,2.1,185.8213
112,50.1,3.6,186.0563
106,50.1,0.6,186.1079
111,50.1,3.1,186.2092
63,30.1,0.1,186.2223
110,50.1,2.6,186.289
107,50.1,1.1,186.3659
109,50.1,2.1,186.3992
108,50.1,1.6,186.4281
92,40.1,4.1,186.4403
91,40.1,3.6,186.5436
90,40.1,3.1,186.659
89,40.1,2.6,186.7601
85,40.1,0.6,186.8034
88,40.1,2.1,186.8865
70,30.1,3.6,187.1145
87,40.1,1.6,187.2117
86,40.1,1.1,187.2984
113,50.1,4.1,187.504
69,30.1,3.1,187.691
68,30.1,2.6,187.8447
67,30.1,2.1,188.1231
46,20.1,2.1,188.1823
66,30.1,1.6,188.5247
64,30.1,0.6,188.6505
65,30.1,1.1,188.8079
45,20.1,1.6,189.7677
47,20.1,2.6,190.1357
44,20.1,1.1,190.509
43,20.1,0.6,191.1178
0,0.1,0.1,999999
1,0.1,0.6,999999
2,0.1,1.1,999999
3,0.1,1.6,999999
4,0.1,2.1,999999
5,0.1,2.6,999999
6,0.1,3.1,999999
7,0.1,3.6,999999
8,0.1,4.1,999999
9,0.1,4.6,999999
10,0.1,5.1,999999
11,0.1,5.6,999999
12,0.1,6.1,999999
13,0.1,6.6,999999
14,0.1,7.1,999999
15,0.1,7.6,999999
16,0.1,8.1,999999
17,0.1,8.6,999999
18,0.1,9.1,999999
19,0.1,9.6,999999
20,0.1,10.1,999999
21,10.1,0.1,999999
22,10.1,0.6,999999
23,10.1,1.1,999999
24,10.1,1.6,999999
25,10.1,2.1,999999
26,10.1,2.6,999999
27,10.1,3.1,999999
28,10.1,3.6,999999
29,10.1,4.1,999999
30,10.1,4.6,999999
31,10.1,5.1,999999
32,10.1,5.6,999999
33,10.1,6.1,999999
34,10.1,6.6,999999
35,10.1,7.1,999999
36,10.1,7.6,999999
37,10.1,8.1,999999
38,10.1,8.6,999999
39,10.1,9.1,999999
40,10.1,9.6,999999
