KP,KI,DELAY,SETTLINGTIME
10.1,0.1,0.01,156.51388
20.1,0.1,0.01,69.15388
30.1,0.1,0.01,57.63388
40.1,0.1,0.01,47.51929333
10.1,0.1,0.02,156.52388
20.1,0.1,0.02,69.18388
30.1,0.1,0.02,57.64388
40.1,0.1,0.02,47.54262667
10.1,0.1,0.03,157.01388
20.1,0.1,0.03,69.19388
30.1,0.1,0.03,57.67388
40.1,0.1,0.03,47.56294
10.1,0.1,0.04,157.02388
20.1,0.1,0.04,69.18488
30.1,0.1,0.04,57.68388
40.1,0.1,0.04,47.57596
10.1,0.1,0.05,157.31388
20.1,0.1,0.05,69.19388
30.1,0.1,0.05,57.69388
40.1,0.1,0.05,47.59929333
10.1,0.1,0.06,157.02388
20.1,0.1,0.06,69.18488
30.1,0.1,0.06,57.70388
40.1,0.1,0.06,47.60294
10.1,0.1,0.07,157.29388
20.1,0.1,0.07,69.19388
30.1,0.1,0.07,57.73388
40.1,0.1,0.07,47.62596
10.1,0.1,0.08,157.04388
20.1,0.1,0.08,69.22488
30.1,0.1,0.08,57.743692
40.1,0.1,0.08,47.63596
10.1,0.1,0.09,157.27388
20.1,0.1,0.09,69.23388
30.1,0.1,0.09,57.76188
40.1,0.1,0.09,47.65262667
10.1,0.1,0.1,157.04388
20.1,0.1,0.1,69.24488
30.1,0.1,0.1,48.47596
40.1,0.1,0.1,47.66262667
10.1,0.1,0.11,157.33388
20.1,0.1,0.11,69.25388
30.1,0.1,0.11,57.80188
10.1,0.1,0.12,157.04388
20.1,0.1,0.12,69.22488
30.1,0.1,0.12,57.80188
10.1,0.1,0.13,157.03388
20.1,0.1,0.13,69.25388
30.1,0.1,0.13,57.82188
10.1,0.1,0.14,157.06388
20.1,0.1,0.14,69.26488
30.1,0.1,0.14,58.02388
10.1,0.1,0.15,157.07388
20.1,0.1,0.15,69.27388
30.1,0.1,0.15,58.05388
10.1,0.1,0.16,157.06388
20.1,0.1,0.16,69.28488
30.1,0.1,0.16,58.08388
10.1,0.1,0.17,157.07388
20.1,0.1,0.17,69.31388
30.1,0.1,0.17,58.11388
10.1,0.1,0.18,156.62388
20.1,0.1,0.18,69.30488
30.1,0.1,0.18,58.14388
10.1,0.1,0.19,157.07388
20.1,0.1,0.19,69.33388
30.1,0.1,0.19,58.17388
10.1,0.1,0.2,156.60388
20.1,0.1,0.2,69.32488
30.1,0.1,0.2,58.18388
10.1,0.1,0.21,157.09388
20.1,0.1,0.21,69.33388
30.1,0.1,0.21,58.21388
