KP,KI,DELAY,SETTLINGTIME
55.1,0.1,0.01,35.8142
55.1,0.1,0.02,35.8292
55.1,0.1,0.04,35.8392
55.1,0.1,0.03,35.8392
55.1,0.1,0.05,35.8492
50.1,0.1,0.12,36.7264
50.1,0.1,0.11,36.7464
50.1,0.1,0.1,36.7516
50.1,0.1,0.09,36.76826667
50.1,0.1,0.08,36.7716
50.1,0.1,0.07,36.7816
50.1,0.1,0.06,36.78493333
50.1,0.1,0.01,36.78826667
50.1,0.1,0.05,36.79493333
50.1,0.1,0.04,36.7964
50.1,0.1,0.02,36.79826667
50.1,0.1,0.03,36.8016
80.1,0.1,0.01,37.089
80.1,0.1,0.02,37.42454545
45.1,0.1,0.19,37.4408
45.1,0.1,0.18,37.4908
80.1,0.1,0.03,37.50125
45.1,0.1,0.17,37.5808
45.1,0.1,0.16,37.6108
75.1,0.1,0.01,37.65054545
45.1,0.1,0.15,37.6564
45.1,0.1,0.14,37.6708
75.1,0.1,0.02,37.70321739
45.1,0.1,0.13,37.7064
45.1,0.1,0.12,37.7116
45.1,0.1,0.11,37.7364
45.1,0.1,0.1,37.73826667
75.1,0.1,0.03,37.74733333
45.1,0.1,0.09,37.7564
45.1,0.1,0.08,37.75826667
45.1,0.1,0.01,37.77493333
45.1,0.1,0.06,37.7764
45.1,0.1,0.07,37.7764
75.1,0.1,0.04,37.77992
45.1,0.1,0.02,37.78493333
45.1,0.1,0.04,37.78493333
45.1,0.1,0.05,37.7864
45.1,0.1,0.03,37.78826667
75.1,0.1,0.05,37.82816667
70.1,0.1,0.01,37.83971429
75.1,0.1,0.06,37.854
70.1,0.1,0.02,37.91909091
70.1,0.1,0.03,38.028
70.1,0.1,0.04,38.15133333
65.1,0.1,0.01,38.33666667
60.1,0.1,0.01,38.3816
70.1,0.1,0.05,38.413
70.1,0.1,0.06,38.4608
65.1,0.1,0.02,38.46272727
55.1,0.1,0.06,38.484
125.1,0.1,0.01,38.50826667
60.1,0.1,0.02,38.52288889
65.1,0.1,0.03,38.54492308
70.1,0.1,0.07,38.5472
125.1,0.1,0.02,38.5516
70.1,0.1,0.08,38.57305882
125.1,0.1,0.03,38.5942
65.1,0.1,0.04,38.60375
60.1,0.1,0.03,38.61818182
125.1,0.1,0.04,38.6242
70.1,0.1,0.09,38.636
70.1,0.1,0.1,38.65690909
120.1,0.1,0.01,38.6642
65.1,0.1,0.05,38.66776471
55.1,0.1,0.07,38.68
40.1,0.1,0.21,38.6808
60.1,0.1,0.04,38.68266667
120.1,0.1,0.02,38.70493333
70.1,0.1,0.11,38.70752
65.1,0.1,0.06,38.71084211
70.1,0.1,0.12,38.72525926
40.1,0.1,0.2,38.7264
125.1,5.1,0.01,38.72976
120.1,0.1,0.03,38.7442
125.1,5.1,0.02,38.76376
60.1,0.1,0.05,38.766
40.1,0.1,0.19,38.7664
65.1,0.1,0.07,38.7694
70.1,0.1,0.13,38.7702069
120.1,0.1,0.04,38.7742
40.1,0.1,0.18,38.7864
55.1,0.1,0.08,38.7956
125.1,5.1,0.03,38.7968
65.1,0.1,0.08,38.8064
120.1,0.1,0.05,38.8142
40.1,0.1,0.17,38.8164
60.1,0.1,0.06,38.81766667
115.1,0.1,0.01,38.8216
40.1,0.1,0.16,38.8364
40.1,0.1,0.15,38.8564
65.1,0.1,0.09,38.86285714
40.1,0.1,0.14,38.8664
115.1,0.1,0.02,38.8764
40.1,0.1,0.13,38.8864
40.1,0.1,0.12,38.8964
65.1,0.1,0.1,38.9024
60.1,0.1,0.07,38.90545455
40.1,0.1,0.11,38.9164
115.1,0.1,0.03,38.9264
40.1,0.1,0.1,38.9264
40.1,0.1,0.09,38.9464
40.1,0.1,0.08,38.9564
65.1,0.1,0.11,38.95768421
65.1,0.1,0.12,38.9614
60.1,0.1,0.08,38.96511111
120.1,5.1,0.01,38.9664
40.1,0.1,0.06,38.9764
40.1,0.1,0.07,38.9764
115.1,0.1,0.04,38.98992
40.1,0.1,0.05,38.99552
40.1,0.1,0.04,39.0088
40.1,0.1,0.01,39.02024
65.1,0.1,0.13,39.02675
40.1,0.1,0.02,39.03024
40.1,0.1,0.03,39.03044
120.1,5.1,0.02,39.0508
65.1,0.1,0.14,39.05576471
65.1,0.1,0.15,39.12186667
60.1,0.1,0.09,39.124
115.1,0.1,0.05,39.1408
65.1,0.1,0.16,39.15138462
120.1,5.1,0.03,39.2208
65.1,0.1,0.17,39.23511111
65.1,0.1,0.18,39.278
115.1,0.1,0.06,39.3708
110.1,0.1,0.01,39.3808
