KP,KI,DELAY,SETTLINGTIME
15.1,0.1,0.01,52.7208
20.1,0.1,0.01,48.5208
20.1,5.1,0.01,90.6208
25.1,0.1,0.01,74.586
25.1,5.1,0.01,72.824
30.1,0.1,0.01,42.7808
30.1,5.1,0.01,59.5408
35.1,0.1,0.01,40.7608
35.1,5.1,0.01,49.456
40.1,0.1,0.01,39.02024
40.1,5.1,0.01,46.68186667
45.1,0.1,0.01,37.77493333
45.1,5.1,0.01,43.88266667
45.1,10.1,0.01,57.58933333
50.1,0.1,0.01,36.78826667
50.1,5.1,0.01,41.81
50.1,10.1,0.01,54.92
55.1,0.1,0.01,35.8142
55.1,5.1,0.01,45.5008
55.1,10.1,0.01,52.788
60.1,0.1,0.01,38.3816
60.1,5.1,0.01,45.5408
60.1,10.1,0.01,50.8336
65.1,0.1,0.01,38.33666667
65.1,5.1,0.01,44.8408
65.1,10.1,0.01,49.5136
70.1,0.1,0.01,37.83971429
70.1,5.1,0.01,44.3408
70.1,10.1,0.01,48.459
75.1,0.1,0.01,37.65054545
75.1,5.1,0.01,43.6608
75.1,10.1,0.01,46.568
75.1,15.1,0.01,51.2808
80.1,0.1,0.01,37.089
80.1,5.1,0.01,42.9008
80.1,10.1,0.01,46.399
80.1,15.1,0.01,47.60923077
85.1,0.1,0.01,40.5008
85.1,5.1,0.01,42.5208
85.1,10.1,0.01,45.568
85.1,15.1,0.01,46.6896
90.1,0.1,0.01,40.3808
90.1,5.1,0.01,41.7764
90.1,10.1,0.01,44.59028571
90.1,15.1,0.01,45.80637037
95.1,0.1,0.01,39.8608
95.1,5.1,0.01,41.4208
95.1,10.1,0.01,44.3776
95.1,15.1,0.01,48.4808
100.1,0.1,0.01,39.7164
100.1,5.1,0.01,40.76826667
100.1,10.1,0.01,43.62646154
100.1,15.1,0.01,47.6608
105.1,0.1,0.01,39.5964
105.1,5.1,0.01,40.4664
105.1,10.1,0.01,43.3855
105.1,15.1,0.01,47.4808
110.1,0.1,0.01,39.3808
110.1,5.1,0.01,39.7942
110.1,10.1,0.01,42.68070588
110.1,15.1,0.01,46.7608
115.1,0.1,0.01,38.8216
115.1,5.1,0.01,39.5816
115.1,10.1,0.01,45.2808
115.1,15.1,0.01,46.5364
120.1,0.1,0.01,38.6642
120.1,5.1,0.01,38.9664
120.1,10.1,0.01,45.5408
120.1,15.1,0.01,45.9808
125.1,0.1,0.01,38.50826667
125.1,5.1,0.01,38.72976
125.1,10.1,0.01,45.4608
125.1,15.1,0.01,45.62826667
130.1,0.1,0.01,40.55511111
130.1,5.1,0.01,44.6208
130.1,10.1,0.01,44.9208
130.1,15.1,0.01,45.3008
135.1,0.1,0.01,40.59129412
135.1,5.1,0.01,44.4408
135.1,10.1,0.01,44.6664
135.1,15.1,0.01,47.326
140.1,0.1,0.01,40.53872727
140.1,5.1,0.01,43.8808
140.1,10.1,0.01,44.4864
145.1,0.1,0.01,40.4374
145.1,5.1,0.01,43.7408
145.1,10.1,0.01,43.9608
150.1,0.1,0.01,40.119
150.1,5.1,0.01,43.6016
150.1,10.1,0.01,43.70826667
155.1,0.1,0.01,42.1808
155.1,5.1,0.01,43.4408
155.1,10.1,0.01,43.5416
160.1,0.1,0.01,42.3808
160.1,5.1,0.01,42.9208
160.1,10.1,0.01,43.2408
165.1,0.1,0.01,42.4008
165.1,5.1,0.01,42.71493333
165.1,10.1,0.01,45.29028571
170.1,0.1,0.01,42.0408
170.1,5.1,0.01,42.57493333
170.1,10.1,0.01,44.8056
175.1,0.1,0.01,41.7964
175.1,5.1,0.01,44.14
175.1,10.1,0.01,47.5808
180.1,0.1,0.01,44.249
180.1,5.1,0.01,44.28457143
180.1,10.1,0.01,47.5764
185.1,0.1,0.01,41.5816
185.1,5.1,0.01,44.29818182
185.1,10.1,0.01,47.4964
190.1,0.1,0.01,43.91
190.1,5.1,0.01,46.7408
190.1,10.1,0.01,47.2964
195.1,0.1,0.01,43.74244444
195.1,5.1,0.01,46.6464
195.1,10.1,0.01,46.8664
200.1,0.1,0.01,43.64085714
200.1,5.1,0.01,46.5464
200.1,10.1,0.01,46.67493333
205.1,0.1,0.01,43.544
205.1,5.1,0.01,46.4264
205.1,10.1,0.01,48.6728
210.1,0.1,0.01,45.6264
210.1,5.1,0.01,46.2008
210.1,10.1,0.01,51.2608
215.1,0.1,0.01,45.5864
215.1,5.1,0.01,48.21
215.1,10.1,0.01,51.1808
220.1,0.1,0.01,47.8376
220.1,5.1,0.01,50.2208
220.1,10.1,0.01,50.8808
225.1,0.1,0.01,47.751
225.1,5.1,0.01,50.4764
225.1,10.1,0.01,50.6864
230.1,0.1,0.01,47.65756522
230.1,5.1,0.01,50.3808
235.1,0.1,0.01,47.56426667
235.1,5.1,0.01,50.2008
240.1,0.1,0.01,49.4608
245.1,0.1,0.01,51.788
15.1,0.1,0.02,52.7908
20.1,0.1,0.02,48.5708
20.1,5.1,0.02,90.7108
25.1,0.1,0.02,74.57
25.1,5.1,0.02,73.486
30.1,0.1,0.02,42.7908
30.1,5.1,0.02,59.5908
35.1,0.1,0.02,40.7708
35.1,5.1,0.02,49.44666667
40.1,0.1,0.02,39.03024
40.1,5.1,0.02,46.7052
45.1,0.1,0.02,37.78493333
45.1,5.1,0.02,43.941
45.1,10.1,0.02,57.65971429
50.1,0.1,0.02,36.79826667
50.1,5.1,0.02,41.88261538
50.1,10.1,0.02,55.376
55.1,0.1,0.02,35.8292
