,kp,ki,Average Settling Time (sec)
45,45.1,0.1,37.9994
50,50.1,0.1,38.413
40,40.1,0.1,38.9001
55,55.1,0.1,38.9327
60,60.1,0.1,39.3549
65,65.1,0.1,39.5537
70,70.1,0.1,40.2168
35,35.1,0.1,40.4876
75,75.1,0.1,41.0838
80,80.1,0.1,41.3066
85,85.1,0.1,41.8772
105,105.1,0.1,41.9238
95,95.1,0.1,41.9307
100,100.1,0.1,41.9466
90,90.1,0.1,41.9606
110,110.1,0.1,42.2123
115,115.1,0.1,42.481
30,30.1,0.1,42.543
120,120.1,0.1,42.7458
125,125.1,0.1,43.3127
130,130.1,0.1,43.9561
135,135.1,0.1,44.0671
81,80.1,5.1,44.0997
91,90.1,5.1,44.1111
86,85.1,5.1,44.259
76,75.1,5.1,44.3371
140,140.1,0.1,44.3683
101,100.1,5.1,44.4251
96,95.1,5.1,44.4843
106,105.1,5.1,44.6357
71,70.1,5.1,44.7994
66,65.1,5.1,45.5638
51,50.1,5.1,45.9194
46,45.1,5.1,46.0566
61,60.1,5.1,46.3035
56,55.1,5.1,47.0133
41,40.1,5.1,47.9871
20,20.1,0.1,48.4741
36,35.1,5.1,52.1454
15,15.1,0.1,52.8418
31,30.1,5.1,59.9914
25,25.1,0.1,74.0268
26,25.1,5.1,74.3842
0,0.1,0.1,999999
1,0.1,5.1,999999
2,0.1,10.1,999999
3,0.1,15.1,999999
4,0.1,20.1,999999
5,5.1,0.1,999999
6,5.1,5.1,999999
7,5.1,10.1,999999
8,5.1,15.1,999999
9,5.1,20.1,999999
10,10.1,0.1,999999
11,10.1,5.1,999999
12,10.1,10.1,999999
13,10.1,15.1,999999
14,10.1,20.1,999999
16,15.1,5.1,999999
17,15.1,10.1,999999
18,15.1,15.1,999999
19,15.1,20.1,999999
21,20.1,5.1,999999
22,20.1,10.1,999999
23,20.1,15.1,999999
24,20.1,20.1,999999
27,25.1,10.1,999999
28,25.1,15.1,999999
29,25.1,20.1,999999
32,30.1,10.1,999999
33,30.1,15.1,999999
34,30.1,20.1,999999
37,35.1,10.1,999999
38,35.1,15.1,999999
39,35.1,20.1,999999
42,40.1,10.1,999999
43,40.1,15.1,999999
44,40.1,20.1,999999
47,45.1,10.1,999999
48,45.1,15.1,999999
49,45.1,20.1,999999
52,50.1,10.1,999999
53,50.1,15.1,999999
54,50.1,20.1,999999
57,55.1,10.1,999999
58,55.1,15.1,999999
59,55.1,20.1,999999
62,60.1,10.1,999999
63,60.1,15.1,999999
64,60.1,20.1,999999
67,65.1,10.1,999999
68,65.1,15.1,999999
69,65.1,20.1,999999
72,70.1,10.1,999999
73,70.1,15.1,999999
74,70.1,20.1,999999
77,75.1,10.1,999999
78,75.1,15.1,999999
79,75.1,20.1,999999
82,80.1,10.1,999999
83,80.1,15.1,999999
84,80.1,20.1,999999
87,85.1,10.1,999999
88,85.1,15.1,999999
89,85.1,20.1,999999
92,90.1,10.1,999999
93,90.1,15.1,999999
94,90.1,20.1,999999
97,95.1,10.1,999999
98,95.1,15.1,999999
99,95.1,20.1,999999
102,100.1,10.1,999999
103,100.1,15.1,999999
104,100.1,20.1,999999
107,105.1,10.1,999999
108,105.1,15.1,999999
109,105.1,20.1,999999
111,110.1,5.1,999999
112,110.1,10.1,999999
113,110.1,15.1,999999
114,110.1,20.1,999999
116,115.1,5.1,999999
117,115.1,10.1,999999
